UF,Municipios,IDH,PIB per capita,Produto Interno Bruto Anual (R$ 1.000),GINI
PB,Mamanguape,"0,585",14387.47 ,642501.33,"0,5411"
PB,Manaira,"0,543",6869.18 ,76192.91,"0,5345"
PB,Marcacao,"0,529",9068.88 ,76722.69,"0,5192"
PB,Mari,"0,548",9279.95 ,202377.06,"0,4766"
PB,Marizopolis,"0,608",9573.54 ,62850.31,"0,5174"
PB,Massaranduba,"0,567",7868.74 ,108132.19,"0,4654"
PB,Mataraca,"0,536",27477.56 ,228805.6,"0,5010"
PB,Matinhas,"0,541",10385.95 ,46902.95,"0,4411"
PB,Mato Grosso,"0,565",8996.46 ,25990.78,"0,4691"
PB,Matureia,"0,572",7928.77 ,51584.59,"0,5226"
PB,Mogeiro,"0,574",9666.80 ,128645.75,"0,5040"
PB,Montadas,"0,590",8383.09 ,46928.53,"0,4751"
PB,Monte Horebe,"0,587",7636.25 ,36569.99,"0,5487"
PB,Monteiro,"0,628",15980.78 ,527477.56,"0,5788"
PB,Mulungu,"0,565",7756.48 ,76618.47,"0,4982"
PB,Natuba,"0,541",7841.76 ,82009.11,"0,5442"
PB,Nazarezinho,"0,562",7975.39 ,58316.07,"0,5196"
PB,Nova Floresta,"0,601",8024.47 ,85468.59,"0,5212"
PB,Nova Olinda,"0,573",8186.34 ,48937.94,"0,5784"
PB,Nova Palmeira,"0,595",8663.13 ,41929.53,"0,4587"
PB,Olho d'Agua,"0,572",8264.66 ,54480.63,"0,5557"
PB,Olivedos,"0,603",9418.52 ,36845.23,"0,5090"
PB,Ouro Velho,"0,614",10186.15 ,30894.6,"0,4830"
PB,Parari,"0,584",10573.68 ,18884.6,"0,4991"
PB,Passagem,"0,620",9788.37 ,23511.67,"0,4094"
PB,Patos,"0,701",16208.14 ,1734011.59,"0,5630"
PB,Paulista,"0,587",10897.58 ,133604.33,"0,4969"
PB,Pedra Branca,"0,599",8167.18 ,31035.29,"0,5077"
PB,Pedra Lavrada,"0,574",9229.35 ,71675.17,"0,4945"
PB,Pedras de Fogo,"0,590",14740.66 ,418472.5,"0,5399"
PB,Pedro Regis,"0,542",7962.88 ,48286.92,"0,5268"
PB,Pianco,"0,621",11176.75 ,179252.78,"0,5427"
PB,Picui,"0,608",9801.58 ,183348.38,"0,5281"
PB,Pilar,"0,579",8221.63 ,97467.46,"0,5349"
PB,Piloes,"0,560",11447.82 ,76471.41,"0,5007"
PB,Piloezinhos,"0,564",9267.89 ,47312.56,"0,4416"
PB,Pirpirituba,"0,595",8320.31 ,87962.34,"0,5303"
PB,Pitimbu,"0,570",13555.07 ,256245,"0,5106"
PB,Pocinhos,"0,591",12589.32 ,232008.59,"0,4651"
PB,Poco Dantas,"0,525",9126.12 ,34469.35,"0,4921"
PB,Poco de Jose de Moura,"0,612",9793.27 ,41876.02,"0,4605"
PB,Pombal,"0,634",12083.64 ,395727.06,"0,5370"
PB,Prata,"0,608",12786.33 ,52948.2,"0,5155"
PB,Princesa Isabel,"0,606",9820.07 ,227972.91,"0,4803"
PB,Puxinana,"0,617",7605.28 ,103660.01,"0,4575"
PB,Queimadas,"0,608",11037.55 ,484736.04,"0,5201"
PB,Quixaba,"0,622",11752.55 ,22670.67,"0,4924"
PB,Remigio,"0,607",8680.42 ,167879.4,"0,5586"
PB,Riachao,"0,574",8962.90 ,31943.78,"0,5183"
PB,Riachao do Bacamarte,"0,553",9433.23 ,42449.54,"0,5016"
PB,Riachao do Poco,"0,555",10111.15 ,45267.62,"0,4975"
PB,Riacho de Santo Antonio,"0,594",12790.89 ,24955.02,"0,4377"
PB,Riacho dos Cavalos,"0,568",8544.64 ,73372.86,"0,4431"
PB,Rio Tinto,"0,585",10163.45 ,244817.07,"0,5092"
PB,Salgadinho,"0,563",6877.58 ,26953.25,"0,4661"
PB,Salgado de Sao Felix,"0,568",10351.73 ,125763.21,"0,5120"
PB,Santa Cecilia,"0,525",8124.67 ,53411.58,"0,4846"
PB,Santa Cruz,"0,618",8314.50 ,54750.97,"0,5302"
PB,Santa Helena,"0,609",8801.19 ,51988.61,"0,5050"
PB,Santa Ines,"0,572",8242.10 ,29646.84,"0,4921"
PB,Santa Luzia,"0,682",15200.87 ,233120.51,"0,4495"
PB,Santa Rita,"0,627",17596.10 ,2389673.66,"0,4760"
PB,Santa Teresinha,"0,627",9615.28 ,44086.06,"0,5973"
PB,Santana de Mangueira,"0,535",8149.49 ,42361.03,"0,5484"
PB,Santana dos Garrotes,"0,594",7885.28 ,55804.09,"0,4896"
PB,Santo Andre,"0,600",10120.54 ,25625.21,"0,4681"
PB,Sao Bentinho,"0,606",10335.86 ,46428.67,"0,4655"
PB,Sao Bento,"0,580",12945.68 ,437512.07,"0,4802"
PB,Sao Domingos,"0,548",9385.12 ,28971.87,"0,4729"
PB,Sao Domingos do Cariri,"0,589",9281.55 ,23955.68,"0,4803"
PB,Sao Francisco,"0,580",10152.47 ,34223.97,"0,4901"
PB,Sao Joao do Cariri,"0,622",10376.35 ,44753.19,"0,5335"
PB,Sao Joao do Rio do Peixe,"0,608",10424.95 ,187033.95,"0,5327"
PB,Sao Joao do Tigre,"0,552",7912.30 ,35051.51,"0,5166"
PB,Sao Jose da Lagoa Tapada,"0,530",7693.98 ,59089.79,"0,4949"
PB,Sao Jose de Caiana,"0,565",7567.57 ,47335.16,"0,4469"
PB,Sao Jose de Espinharas,"0,577",10149.33 ,47346.64,"0,4501"
PB,Sao Jose de Piranhas,"0,591",9572.42 ,191955.82,"0,5023"
PB,Sao Jose de Princesa,"0,565",7542.81 ,29477.31,"0,4548"
PB,Sao Jose do Bonfim,"0,578",8182.47 ,28851.4,"0,4846"
PB,Sao Jose do Brejo do Cruz,"0,581",13251.54 ,23733.52,"0,4650"
PB,Sao Jose do Sabugi,"0,617",27928.06 ,115454.58,"0,4348"
PB,Sao Jose dos Cordeiros,"0,556",8326.87 ,31000.95,"0,4903"
PB,Sao Jose dos Ramos,"0,541",8037.11 ,47539.53,"0,5136"
PB,Sao Mamede,"0,641",9134.93 ,70750.04,"0,5267"
PB,Sao Miguel de Taipu,"0,548",9151.55 ,65195.66,"0,4897"
PB,Sao Sebastiao de Lagoa de Roca,"0,594",8067.95 ,94822.66,"0,4873"
PB,Sao Sebastiao do Umbuzeiro,"0,581",9412.43 ,32623.47,"0,4681"
PB,Sao Vicente do Serido,"0,555",6794.64 ,556832.58,"0,4810"
PB,Sape,"0,569",10617.86 ,72892.88,"0,5176"
PB,Serra Branca,"0,628",9233.06 ,125846.62,"0,4863"
PB,Serra da Raiz,"0,626",10305.24 ,32368.75,"0,4996"
PB,Serra Grande,"0,586",9055.60 ,27972.76,"0,4792"
PB,Serra Redonda,"0,570",8559.69 ,60268.79,"0,4902"
PB,Serraria,"0,547",9376.14 ,57485.14,"0,5151"
PB,Sertaozinho,"0,621",9606.62 ,47629.62,"0,4742"
PB,Sobrado,"0,573",11447.10 ,88726.48,"0,4921"
PB,Solanea,"0,595",10755.63 ,286013.69,"0,5773"
PB,Soledade,"0,616",11269.10 ,167199.59,"0,5216"
PB,Sossego,"0,573",9326.74 ,32792.81,"0,4987"
PB,Sousa,"0,668",16215.67 ,1121492.05,"0,5475"
PB,Sume,"0,627",10389.04 ,175200.69,"0,5055"
PB,Tacima,"0,551",7086.62 ,77152,"0,4933"
PB,Taperoa,"0,578",8091.77 ,122873.57,"0,5350"
PB,Tavares,"0,586",7909.38 ,115587.7,"0,5317"
PB,Teixeira,"0,605",9174.29 ,138274.94,"0,5611"
PB,Tenorio,"0,581",9332.66 ,28324.62,"0,4288"
PB,Triunfo,"0,609",7790.28 ,73742.81,"0,4869"
PB,Uirauna,"0,636",10908.57 ,166901.14,"0,5482"
PB,Umbuzeiro,"0,584",7520.42 ,74467.2,"0,5487"
PB,Varzea,"0,707",10889.86 ,30262.93,"0,4831"
PB,Vieiropolis,"0,571",7896.09 ,42030.9,"0,4526"
PB,Vista Serrana,"0,566",9023.31 ,34044.96,"0,4755"
PB,Zabele,"0,623",10724.45 ,23861.9,"0,4361"
PE,Abreu e Lima,"0,679",17320.77 ,1725530.04,"0,4676"
PE,Afogados da Ingazeira,"0,657",11753.30 ,436176.85,"0,5762"
PE,Afranio,"0,588",8510.74 ,165585.02,"0,5333"
PE,Agrestina,"0,592",10300.13 ,254433.75,"0,5072"
PE,Agua Preta,"0,553",6748.57 ,246012.4,"0,5030"
PE,Aguas Belas,"0,526",8140.21 ,351616.26,"0,5922"
PE,Alagoinha,"0,599",9132.16 ,132909.51,"0,4997"
PE,Alianca,"0,604",8207.74 ,314971.96,"0,5148"
PE,Altinho,"0,598",7489.78 ,171957.77,"0,5210"
PE,Amaraji,"0,580",9811.16 ,223576.63,"0,5030"
PE,Angelim,"0,572",10702.15 ,118494.21,"0,5898"
PE,Aracoiaba,"0,592",6877.90 ,139703.82,"0,4599"
PE,Araripina,"0,602",12298.15 ,1032601.81,"0,5653"
PE,Arcoverde,"0,667",13647.40 ,1007778.33,"0,5970"
PE,Barra de Guabiraba,"0,577",9061.75 ,129193.32,"0,5252"
PE,Barreiros,"0,586",9993.08 ,425225.51,"0,5750"
PE,Belem de Maria,"0,578",6659.84 ,80071.22,"0,4714"
PE,Belem do Sao Francisco,"0,642",14678.52 ,304256.29,"0,6285"
PE,Belo Jardim,"0,629",24720.46 ,1883328.58,"0,5181"
PE,Betania,"0,559",6933.84 ,87858.63,"0,5530"
PE,Bezerros,"0,606",11892.04 ,722013.31,"0,5360"
PE,Bodoco,"0,565",7300.54 ,276756.19,"0,5523"
PE,Bom Conselho,"0,563",10422.57 ,503785.18,"0,6288"
PE,Bom Jardim,"0,602",8362.76 ,327251.69,"0,4957"
PE,Bonito,"0,561",10236.80 ,390554.52,"0,5452"
PE,Brejao,"0,547",16099.94 ,144883.32,"0,4924"
PE,Brejinho,"0,574",7421.27 ,55555.61,"0,5027"
PE,Brejo da Madre de Deus,"0,562",7467.16 ,375217.29,"0,4796"
PE,Buenos Aires,"0,593",7885.59 ,103451.02,"0,4576"
PE,Buique,"0,527",7037.04 ,406916.74,"0,5787"
PE,Cabo de Santo Agostinho,"0,686",47575.16 ,9758236.66,"0,5586"
PE,Cabrobo,"0,623",11320.36 ,384144.99,"0,5944"
PE,Cachoeirinha,"0,579",10761.58 ,218008.12,"0,4735"
PE,Caetes,"0,522",17024.13 ,486379.34,"0,6031"
PE,Calcado,"0,566",8436.07 ,93547.53,"0,5370"
PE,Calumbi,"0,571",8734.25 ,50248.16,"0,5433"
PE,Camaragibe,"0,692",11807.42 ,1850647.5,"0,5320"
PE,Camocim de Sao Felix,"0,588",8247.04 ,153617.57,"0,5351"
PE,Camutanga,"0,606",15220.35 ,129829.61,"0,4872"
PE,Canhotinho,"0,541",7621.24 ,189273.45,"0,5374"
PE,Capoeiras,"0,549",10614.15 ,212792.41,"0,5067"
PE,Carnaiba,"0,583",7930.56 ,154574.54,"0,5390"
PE,Carnaubeira da Penha,"0,573",6125.37 ,78625.31,"0,5660"
PE,Carpina,"0,680",17467.92 ,1447601.31,"0,5210"
PE,Caruaru,"0,677",20028.26 ,7147526.42,"0,5422"
PE,Casinhas,"0,567",6628.60 ,94875.08,"0,4535"
PE,Catende,"0,609",6734.87 ,285787.35,"0,5552"
PE,Cedro,"0,615",7556.35 ,88575.59,"0,5618"
PE,Cha de Alegria,"0,604",11135.31 ,149524.88,"0,4630"
PE,Cha Grande,"0,599",9261.23 ,199848.14,"0,5582"
PE,Condado,"0,602",8460.04 ,222067.64,"0,5405"
PE,Correntes,"0,536",8255.79 ,149792.97,"0,5266"
PE,Cortes,"0,568",9488.45 ,119516.55,"0,4822"
PE,Cumaru,"0,572",8327.21 ,96887.08,"0,5049"
PE,Cupira,"0,592",10979.96 ,263969.2,"0,5069"
PE,Custodia,"0,594",13498.42 ,497295.33,"0,5359"
PE,Dormentes,"0,589",11599.49 ,217304.91,"0,4708"
PE,Escada,"0,632",13976.51 ,956663.96,"0,4729"
PE,Exu,"0,576",8417.20 ,268382.3,"0,5728"
PE,Feira Nova,"0,600",8679.60 ,191063.98,"0,4905"
PE,Fernando de Noronha,"0,788",53410.33 ,161352.61,"0,4605"
PE,Ferreiros,"0,622",7832.56 ,112514.67,"0,5106"
PE,Flores,"0,556",7515.92 ,170092.84,"0,5172"
PE,Floresta,"0,626",12865.92 ,418863.03,"0,5244"
PE,Frei Miguelinho,"0,576",7533.50 ,115759.71,"0,4807"
PE,Gameleira,"0,602",7215.12 ,222081.3,"0,4828"
PE,Garanhuns,"0,664",17565.52 ,2441308.81,"0,5990"
PE,Gloria do Goita,"0,604",14973.38 ,456747.91,"0,5287"
PE,Goiana,"0,651",116122.91 ,9226545.46,"0,5569"
PE,Granito,"0,595",9237.86 ,68683.48,"0,5438"
PE,Gravata,"0,634",13479.21 ,1124665.21,"0,5403"
PE,Iati,"0,528",8458.26 ,161992.55,"0,5607"
PE,Ibimirim,"0,552",8930.46 ,259474.55,"0,5230"
PE,Ibirajuba,"0,580",7834.74 ,60766.25,"0,4756"
PE,Igarassu,"0,665",21887.47 ,2531066.66,"0,4988"
PE,Iguaracy,"0,598",7348.26 ,89714.88,"0,5490"
PE,Ilha de Itamaraca,"0,653",9654.89 ,249443.71,"0,6125"
PE,Inaja,"0,523",7317.46 ,167130.87,"0,6093"
PE,Ingazeira,"0,608",7950.69 ,36207.44,"0,5324"
PE,Ipojuca,"0,619",122169.48 ,11570549.17,"0,5213"
PE,Ipubi,"0,550",9606.75 ,293121.23,"0,5308"
PE,Itacuruba,"0,595",11378.85 ,55403.62,"0,4693"
PE,Itaiba,"0,510",8165.67 ,215492.01,"0,5217"
PE,Itambe,"0,575",11700.74 ,426164.5,"0,4135"
PE,Itapetim,"0,592",7993.96 ,109357.34,"0,5593"
PE,Itapissuma,"0,633",59212.96 ,1563044.59,"0,5574"
PE,Itaquitinga,"0,586",7839.64 ,132513.4,"0,4628"
PE,Jaboatao dos Guararapes,"0,717",19149.92 ,13359675.42,"0,5961"
PE,Jaqueira,"0,575",9358.82 ,109198.67,"0,5894"
PE,Jatauba,"0,530",7303.47 ,124670.22,"0,4966"
PE,Jatoba,"0,645",8482.07 ,125025.65,"0,5800"
PE,Joao Alfredo,"0,576",8701.73 ,292056.19,"0,5035"
PE,Joaquim Nabuco,"0,554",11434.31 ,183360.57,"0,5010"
PE,Jucati,"0,550",8839.64 ,100427.15,"0,5123"
PE,Jupi,"0,575",10545.02 ,155507.45,"0,5052"
PE,Jurema,"0,509",6799.45 ,104187.92,"0,5592"
PE,Lagoa de Itaenga,"0,602",14993.15 ,247578.35,"0,4681"
PE,Lagoa do Carro,"0,609",13842.02 ,320808.44,"0,4550"
PE,Lagoa do Ouro,"0,525",8857.97 ,115729.42,"0,5188"
PE,Lagoa dos Gatos,"0,551",8624.50 ,140251.66,"0,5057"
PE,Lagoa Grande,"0,597",12656.35 ,320825.78,"0,5023"
PE,Lajedo,"0,611",11169.67 ,446585.82,"0,5094"
PE,Limoeiro,"0,663",13784.48 ,776093.81,"0,5282"
PE,Macaparana,"0,609",9447.74 ,238820,"0,5139"
PE,Machados,"0,578",13380.62 ,212096.22,"0,5063"
PE,Manari,"0,487",5793.60 ,122157.97,"0,5438"
PE,Maraial,"0,534",7628.78 ,87524.95,"0,5489"
PE,Mirandiba,"0,591",9878.16 ,151214.93,"0,5992"
PE,Moreilandia,"0,600",7259.99 ,81820.14,"0,5420"
PE,Moreno,"0,652",10566.28 ,657888.06,"0,5259"
PE,Nazare da Mata,"0,662",16319.32 ,528191.19,"0,5107"
PE,Olinda,"0,735",14122.98 ,5533876.47,"0,5678"
PE,Orobo,"0,610",13496.22 ,321655.35,"0,5315"
PE,Oroco,"0,610",11719.00 ,173757.57,"0,5195"
PE,Ouricuri,"0,572",9671.52 ,666745.14,"0,6209"
PE,Palmares,"0,622",12704.44 ,800303.53,"0,5175"
PE,Palmeirina,"0,549",8822.41 ,68717.74,"0,5336"
PE,Panelas,"0,569",7178.15 ,190163.51,"0,5724"
PE,Paranatama,"0,537",24880.06 ,285573.36,"0,5504"
PE,Parnamirim,"0,599",7616.25 ,166902.6,"0,5604"
PE,Passira,"0,592",7751.02 ,224562.55,"0,5137"
PE,Paudalho,"0,639",14223.39 ,797562.47,"0,5755"
PE,Paulista,"0,732",12731.32 ,4190092.52,"0,5047"
PE,Pedra,"0,567",11037.24 ,249066.26,"0,5464"
PE,Pesqueira,"0,610",10269.85 ,688562.86,"0,5734"
PE,Petrolandia,"0,623",36751.10 ,1329912.21,"0,5686"
PE,Petrolina,"0,697",19445.59 ,6686658.33,"0,6253"
PE,Pocao,"0,528",7433.25 ,83988.26,"0,5495"
PE,Pombos,"0,598",13530.65 ,365774.17,"0,4945"
PE,Primavera,"0,580",10731.75 ,159162.57,"0,4505"
PE,Quipapa,"0,552",6944.35 ,179830.99,"0,4877"
PE,Quixaba,"0,577",7773.86 ,53033.24,"0,4638"
PE,Recife,"0,772",31994.38 ,52401487.3,"0,6894"
PE,Riacho das Almas,"0,570",8886.07 ,181657.84,"0,5160"
PE,Ribeirao,"0,602",9503.44 ,448647.83,"0,5205"
PE,Rio Formoso,"0,613",11369.56 ,266502.48,"0,4512"
PE,Saire,"0,585",12411.83 ,125396.7,"0,4626"
PE,Salgadinho,"0,534",6268.19 ,67495.84,"0,5265"
PE,Salgueiro,"0,669",14172.63 ,858917.92,"0,6006"
PE,Saloa,"0,559",8036.97 ,127168.97,"0,5614"
PE,Sanharo,"0,603",7652.79 ,199171.39,"0,5168"
PE,Santa Cruz,"0,549",7137.75 ,108750.77,"0,4592"
PE,Santa Cruz da Baixa Verde,"0,612",7231.30 ,90615.4,"0,5080"
PE,Santa Cruz do Capibaribe,"0,648",14271.52 ,1511867.66,"0,4661"
PE,Santa Filomena,"0,533",6809.16 ,97983.8,"0,5929"
PE,Santa Maria da Boa Vista,"0,590",15806.80 ,660076.03,"0,5540"
PE,Santa Maria do Cambuca,"0,548",7300.42 ,102556.27,"0,4668"
PE,Santa Terezinha,"0,593",7302.39 ,85905.28,"0,5848"
PE,Sao Benedito do Sul,"0,530",6147.44 ,96619.31,"0,5283"
PE,Sao Bento do Una,"0,593",18409.77 ,1085366.27,"0,6094"
PE,Sao Caitano,"0,591",9628.38 ,357395.66,"0,5075"
PE,Sao Joao,"0,570",9912.62 ,224877.59,"0,5734"
PE,Sao Joaquim do Monte,"0,537",7524.49 ,160376.96,"0,5461"
PE,Sao Jose da Coroa Grande,"0,608",11039.76 ,231879.08,"0,5846"
PE,Sao Jose do Belmonte,"0,610",8008.13 ,271435.68,"0,5502"
PE,Sao Jose do Egito,"0,635",11370.75 ,384206.26,"0,5428"
PE,Sao Lourenco da Mata,"0,653",10511.85 ,1181132.23,"0,5173"
PE,Sao Vicente Ferrer,"0,549",11866.54 ,213004.4,"0,5566"
PE,Serra Talhada,"0,661",16007.65 ,1373040.47,"0,5714"
PE,Serrita,"0,595",7038.00 ,134658.02,"0,5668"
PE,Sertania,"0,613",13764.78 ,492242.24,"0,6111"
PE,Sirinhaem,"0,597",10824.50 ,490988.36,"0,4578"
PE,Solidao,"0,585",7336.90 ,43970.02,"0,5675"
PE,Surubim,"0,635",11683.83 ,753840.6,"0,5362"
PE,Tabira,"0,605",9351.99 ,265325.24,"0,5214"
PE,Tacaimbo,"0,554",12610.99 ,162555.72,"0,5151"
PE,Tacaratu,"0,573",6818.94 ,173317.01,"0,4977"
PE,Tamandare,"0,593",12486.08 ,289040.28,"0,5576"
PE,Taquaritinga do Norte,"0,641",9871.23 ,280500.9,"0,4213"
PE,Terezinha,"0,545",8646.15 ,61724.88,"0,5377"
PE,Terra Nova,"0,599",6866.55 ,68548.74,"0,4576"
PE,Timbauba,"0,618",13378.85 ,681732.74,"0,5154"
PE,Toritama,"0,618",14800.44 ,654978.75,"0,4464"
PE,Tracunhaem,"0,605",8596.93 ,117984.28,"0,4542"
PE,Trindade,"0,595",10451.10 ,315853.23,"0,4343"
PE,Triunfo,"0,670",9305.72 ,142051.79,"0,5645"
PE,Tupanatinga,"0,519",6882.65 ,186189.56,"0,6210"
PE,Tuparetama,"0,634",9611.67 ,78738.81,"0,4688"
PE,Venturosa,"0,592",11783.13 ,215607.65,"0,5274"
PE,Verdejante,"0,605",7186.55 ,68372.8,"0,5493"
PE,Vertente do Lerio,"0,563",7829.31 ,60019.48,"0,4512"
PE,Vertentes,"0,582",7806.45 ,160055.64,"0,4645"
PE,Vicencia,"0,605",10631.56 ,345663.97,"0,5108"
PE,Vitoria de Santo Antao,"0,640",26964.56 ,3718817.02,"0,5537"
PE,Xexeu,"0,552",8422.31 ,123732.13,"0,4999"
PI,Acaua,"0,528",7373.81 ,52095.99,"0,5010"
PI,Agricolandia,"0,599",7283.04 ,37493.1,"0,5078"
PI,Agua Branca,"0,639",11560.54 ,200563.79,"0,5667"
PI,Alagoinha do Piaui,"0,531",7125.45 ,54409.97,"0,5289"
PI,Alegrete do Piaui,"0,585",7317.55 ,35943.8,"0,5095"
PI,Alto Longa,"0,585",7050.48 ,100596.27,"0,5892"
PI,Altos,"0,614",10361.22 ,419007.66,"0,5621"
PI,Alvorada do Gurgueia,"0,578",13122.14 ,70754.59,"0,6066"
PI,Amarante,"0,598",8206.67 ,144371.78,"0,5407"
PI,Angical do Piaui,"0,630",9428.55 ,64038.72,"0,6139"
PI,Anisio de Abreu,"0,594",7870.16 ,77269.26,"0,5310"
PI,Antonio Almeida,"0,620",43270.69 ,136648.84,"0,5225"
PI,Aroazes,"0,583",8326.53 ,48660.23,"0,5281"
PI,Aroeiras do Itaim,"0,519",8461.19 ,21584.51,"0,4855"
PI,Arraial,"0,560",7846.20 ,37151.75,"0,5573"
PI,Assuncao do Piaui,"0,499",7099.72 ,55576.64,"0,5716"
PI,Avelino Lopes,"0,554",7027.07 ,79068.61,"0,5726"
PI,Baixa Grande do Ribeiro,"0,564",82913.59 ,953257.51,"0,5876"
PI,Barra D'Alcantara,"0,577",8423.99 ,33274.75,"0,5218"
PI,Barras,"0,595",8412.00 ,394867.92,"0,5130"
PI,Barreiras do Piaui,"0,557",8197.35 ,27411.94,"0,5284"
PI,Barro Duro,"0,612",9740.83 ,68555.97,"0,5167"
PI,Batalha,"0,545",7161.96 ,191983.54,"0,4951"
PI,Bela Vista do Piaui,"0,576",8804.73 ,35210.1,"0,5956"
PI,Belem do Piaui,"0,551",8233.84 ,29180.73,"0,5386"
PI,Beneditinos,"0,557",7260.24 ,75956.64,"0,5623"
PI,Bertolinia,"0,612",10687.11 ,58725.66,"0,5276"
PI,Betania do Piaui,"0,489",8500.38 ,52702.38,"0,5392"
PI,Boa Hora,"0,575",7819.15 ,52732.38,"0,5138"
PI,Bocaina,"0,632",9720.73 ,43704.41,"0,5839"
PI,Bom Jesus,"0,668",36392.02 ,908344.9,"0,5472"
PI,Bom Principio do Piaui,"0,532",9416.30 ,52806.64,"0,5744"
PI,Bonfim do Piaui,"0,542",7334.80 ,41470.94,"0,4514"
PI,Boqueirao do Piaui,"0,560",6770.86 ,43252.27,"0,5016"
PI,Brasileira,"0,577",6752.32 ,56111.8,"0,4889"
PI,Brejo do Piaui,"0,515",8771.29 ,34225.56,"0,5240"
PI,Buriti dos Lopes,"0,565",8822.34 ,174276.41,"0,5481"
PI,Buriti dos Montes,"0,574",6978.01 ,57380.14,"0,5702"
PI,Cabeceiras do Piaui,"0,583",6396.65 ,67420.71,"0,5352"
PI,Cajazeiras do Piaui,"0,562",7820.63 ,27716.33,"0,4932"
PI,Cajueiro da Praia,"0,546",10776.62 ,81988.56,"0,6448"
PI,Caldeirao Grande do Piaui,"0,588",18567.87 ,107136.61,"0,5267"
PI,Campinas do Piaui,"0,544",7851.41 ,43991.48,"0,5516"
PI,Campo Alegre do Fidalgo,"0,537",7534.58 ,37816.04,"0,6588"
PI,Campo Grande do Piaui,"0,560",9694.29 ,57380.49,"0,4815"
PI,Campo Largo do Piaui,"0,528",6871.63 ,49784.94,"0,5371"
PI,Campo Maior,"0,656",13062.70 ,610942.71,"0,5350"
PI,Canavieira,"0,583",7936.66 ,31405.38,"0,5201"
PI,Canto do Buriti,"0,576",10520.05 ,222099.35,"0,5321"
PI,Capitao de Campos,"0,583",8130.92 ,92594.89,"0,5151"
PI,Capitao Gervasio Oliveira,"0,553",8126.90 ,33206.52,"0,5612"
PI,Caracol,"0,552",7339.37 ,79749.65,"0,4334"
PI,Caraubas do Piaui,"0,505",8107.37 ,47387.57,"0,5863"
PI,Caridade do Piaui,"0,541",7740.39 ,39081.25,"0,5311"
PI,Castelo do Piaui,"0,587",8915.50 ,175769.06,"0,4893"
PI,Caxingo,"0,488",8573.35 ,46253.22,"0,5264"
PI,Cocal,"0,497",7999.27 ,221779.85,"0,5688"
PI,Cocal de Telha,"0,555",8206.24 ,40054.64,"0,5224"
PI,Cocal dos Alves,"0,498",7695.25 ,47248.81,"0,5945"
PI,Coivaras,"0,565",8022.22 ,32145.03,"0,4880"
PI,Colonia do Gurgueia,"0,628",9236.39 ,59583.97,"0,4964"
PI,Colonia do Piaui,"0,588",7239.73 ,55391.2,"0,5092"
PI,Conceicao do Caninde,"0,589",10272.28 ,49286.4,"0,5359"
PI,Coronel Jose Dias,"0,546",7531.97 ,35234.56,"0,5782"
PI,Corrente,"0,642",17079.37 ,453884.35,"0,6055"
PI,Cristalandia do Piaui,"0,573",6859.01 ,56682.87,"0,6149"
PI,Cristino Castro,"0,566",9800.11 ,101930.95,"0,5956"
PI,Curimata,"0,607",8990.73 ,102026.77,"0,5536"
PI,Currais,"0,542",55151.51 ,272393.29,"0,5188"
PI,Curral Novo do Piaui,"0,527",13392.62 ,71195.17,"0,5784"
PI,Curralinhos,"0,555",6891.32 ,30494.08,"0,5349"
PI,Demerval Lobao,"0,618",12246.60 ,168917.36,"0,4825"
PI,Dirceu Arcoverde,"0,561",7395.50 ,51709.36,"0,5265"
PI,Dom Expedito Lopes,"0,601",10880.85 ,74903.74,"0,5201"
PI,Dom Inocencio,"0,549",6402.56 ,61118.81,"0,5356"
PI,Domingos Mourao,"0,550",7753.37 ,33773.67,"0,5688"
PI,Elesbao Veloso,"0,580",9461.37 ,138419.79,"0,4879"
PI,Eliseu Martins,"0,595",9128.35 ,44728.9,"0,5864"
PI,Esperantina,"0,605",9472.03 ,375291.18,"0,5610"
PI,Fartura do Piaui,"0,548",5772.83 ,30567.15,"0,5249"
PI,Flores do Piaui,"0,547",8416.44 ,37570.99,"0,5751"
PI,Floresta do Piaui,"0,538",8432.68 ,21553.92,"0,5150"
PI,Floriano,"0,700",18465.40 ,1104969.8,"0,5579"
PI,Francinopolis,"0,564",7256.91 ,38817.22,"0,5666"
PI,Francisco Ayres,"0,577",8809.11 ,38522.22,"0,5211"
PI,Francisco Macedo,"0,553",9442.34 ,29894.43,"0,4976"
PI,Francisco Santos,"0,608",7586.73 ,70268.28,"0,5136"
PI,Fronteiras,"0,619",8715.75 ,101015.51,"0,5653"
PI,Geminiano,"0,561",8660.45 ,46974.29,"0,4668"
PI,Gilbues,"0,548",21181.84 ,226349.11,"0,6883"
PI,Guadalupe,"0,650",70596.56 ,741263.91,"0,5059"
PI,Guaribas,"0,508",7350.39 ,33488.38,"0,5763"
PI,Hugo Napoleao,"0,599",7648.07 ,29636.29,"0,5491"
PI,Ilha Grande,"0,563",7744.85 ,72755.12,"0,5132"
PI,Inhuma,"0,624",8959.41 ,137043.07,"0,5298"
PI,Ipiranga do Piaui,"0,630",7368.94 ,72082.98,"0,4809"
PI,Isaias Coelho,"0,582",7337.33 ,62741.49,"0,7972"
PI,Itainopolis,"0,541",7712.13 ,88743.47,"0,5033"
PI,Itaueira,"0,583",10006.91 ,110176.03,"0,5563"
PI,Jacobina do Piaui,"0,535",8448.99 ,48607.02,"0,5286"
