UF,Municipios,IDH,PIB per capita,Produto Interno Bruto Anual (R$ 1.000),GINI
BA,Biritinga,"0,538",7607.76 ,121533.93,"0,5610"
BA,Boa Nova,"0,567",7159.43 ,92736.07,"0,5200"
BA,Boa Vista do Tupim,"0,551",6535.89 ,121711.32,"0,5627"
BA,Bom Jesus da Lapa,"0,633",14722.75 ,1010113.45,"0,6048"
BA,Bom Jesus da Serra,"0,546",5813.87 ,57801.45,"0,5280"
BA,Boninal,"0,612",6762.67 ,96625.09,"0,5575"
BA,Bonito,"0,561",9927.66 ,165166.54,"0,5122"
BA,Boquira,"0,603",6955.07 ,149673.08,"0,5357"
BA,Botupora,"0,575",8804.57 ,90687.07,"0,5334"
BA,Brejoes,"0,597",8389.63 ,120559.03,"0,5181"
BA,Brejolandia,"0,592",8091.60 ,84905.18,"0,5648"
BA,Brotas de Macaubas,"0,570",7774.65 ,80397.67,"0,5699"
BA,Brumado,"0,656",26374.82 ,1768379.13,"0,5226"
BA,Buerarema,"0,613",10451.86 ,192220.24,"0,5760"
BA,Buritirama,"0,565",6088.01 ,128256.07,"0,5531"
BA,Caatiba,"0,561",9258.96 ,65210.84,"0,4059"
BA,Cabaceiras do Paraguacu,"0,581",6327.48 ,118311.2,"0,5455"
BA,Cachoeira,"0,647",13985.81 ,473573.6,"0,5729"
BA,Cacule,"0,637",11872.73 ,273607.13,"0,4835"
BA,Caem,"0,546",7887.38 ,73920.49,"0,5501"
BA,Caetanos,"0,542",5601.55 ,86958.49,"0,5028"
BA,Caetite,"0,625",16855.69 ,857297.47,"0,5993"
BA,Cafarnaum,"0,584",8771.14 ,161003,"0,5578"
BA,Cairu,"0,627",63029.19 ,1129041.92,"0,5474"
BA,Caldeirao Grande,"0,573",6868.07 ,91070.66,"0,5602"
BA,Camacan,"0,581",8835.59 ,282456.08,"0,6244"
BA,Camacari,"0,694",81105.66 ,23822597.74,"0,5458"
BA,Camamu,"0,565",9820.61 ,346156.7,"0,5484"
BA,Campo Alegre de Lourdes,"0,557",7539.84 ,217479.23,"0,6078"
BA,Campo Formoso,"0,586",15898.52 ,1127395.78,"0,5713"
BA,Canapolis,"0,565",6762.02 ,65720.12,"0,4979"
BA,Canarana,"0,587",7457.06 ,194032.79,"0,4888"
BA,Canavieiras,"0,590",9973.92 ,312193.71,"0,5197"
BA,Candeal,"0,587",6482.95 ,54054.85,"0,4420"
BA,Candeias,"0,691",50279.23 ,4358053.22,"0,5120"
BA,Candiba,"0,591",7829.79 ,111715.49,"0,4461"
BA,Candido Sales,"0,601",8330.26 ,211022.2,"0,5108"
BA,Cansancao,"0,557",7476.84 ,260074.38,"0,5733"
BA,Canudos,"0,562",7617.34 ,127605.69,"0,5381"
BA,Capela do Alto Alegre,"0,599",7701.83 ,89803.29,"0,4977"
BA,Capim Grosso,"0,621",14039.95 ,427530.38,"0,5493"
BA,Caraibas,"0,555",7465.03 ,67984.02,"0,4930"
BA,Caravelas,"0,616",15910.13 ,349020.43,"0,5873"
BA,Cardeal da Silva,"0,552",11169.10 ,103202.51,"0,5472"
BA,Carinhanha,"0,576",7402.52 ,214413.88,"0,5172"
BA,Casa Nova,"0,570",9672.30 ,690273.67,"0,5483"
BA,Castro Alves,"0,613",10522.43 ,275782.45,"0,5494"
BA,Catolandia,"0,582",23988.63 ,85279.58,"0,5217"
BA,Catu,"0,677",10971.95 ,597137.61,"0,5796"
BA,Caturama,"0,571",6359.39 ,59396.67,"0,5038"
BA,Central,"0,596",9059.39 ,156292.61,"0,5427"
BA,Chorrocho,"0,600",6866.08 ,76584.23,"0,5811"
BA,Cicero Dantas,"0,585",8087.65 ,269771.76,"0,5391"
BA,Cipo,"0,601",7651.42 ,130816.36,"0,5475"
BA,Coaraci,"0,613",8691.23 ,151731.56,"0,5638"
BA,Cocos,"0,596",16958.23 ,317898.98,"0,5638"
BA,Conceicao da Feira,"0,634",12009.80 ,268923.51,"0,5738"
BA,Conceicao do Almeida,"0,606",9215.26 ,159718.95,"0,5833"
BA,Conceicao do Coite,"0,611",11055.14 ,731750.78,"0,4946"
BA,Conceicao do Jacuipe,"0,663",68300.94 ,2247715.53,"0,4847"
BA,Conde,"0,560",10604.67 ,271797.69,"0,5399"
BA,Condeuba,"0,582",8596.77 ,148887.51,"0,4975"
BA,Contendas do Sincora,"0,577",9024.30 ,36873.3,"0,5144"
BA,Coracao de Maria,"0,592",7586.96 ,172368.06,"0,5293"
BA,Cordeiros,"0,579",6457.72 ,55439.5,"0,4558"
BA,Coribe,"0,600",8835.24 ,125813.87,"0,5877"
BA,Coronel Joao Sa,"0,535",8311.11 ,131323.85,"0,4883"
BA,Correntina,"0,603",60601.65 ,1944161.68,"0,5885"
BA,Cotegipe,"0,590",9186.91 ,126742.61,"0,5599"
BA,Cravolandia,"0,599",6994.99 ,37416.21,"0,5316"
BA,Crisopolis,"0,543",7257.53 ,152698.39,"0,5831"
BA,Cristopolis,"0,614",8040.63 ,111539.58,"0,5457"
BA,Cruz das Almas,"0,699",15661.85 ,984676.24,"0,5734"
BA,Curaca,"0,581",9240.01 ,317754.63,"0,5279"
BA,Dario Meira,"0,540",8302.03 ,90541.99,"0,5578"
BA,Dias d'Avila,"0,676",36526.22 ,2910591.73,"0,5337"
BA,Dom Basilio,"0,591",9129.47 ,110968.68,"0,4588"
BA,Dom Macedo Costa,"0,632",7931.51 ,32122.63,"0,5609"
BA,Elisio Medrado,"0,623",7109.80 ,57724.48,"0,5070"
BA,Encruzilhada,"0,544",10359.26 ,182250.53,"0,5122"
BA,Entre Rios,"0,615",13407.68 ,558483.66,"0,6249"
BA,Erico Cardoso,"0,584",5933.22 ,63259.97,"0,4916"
BA,Esplanada,"0,589",17024.93 ,627913.46,"0,5900"
BA,Euclides da Cunha,"0,567",9236.04 ,552703.33,"0,5559"
BA,Eunapolis,"0,677",25735.13 ,2890518.51,"0,5877"
BA,Fatima,"0,559",9681.70 ,170407.64,"0,5660"
